name,author,narrator,time,releasedate,language,stars,price,ratings
Willy och mördarmakrillen,"JeffreyArcher,MariaNilsson",MagnusSchmitz,30,2022-07-03,swedish,0,32,0
Middle School Mischief,"BassemYoussef,CatherineR.Daly","LameeceIssaq,BassemYoussef",250,2022-03-03,English,0,492,0
The Ghoul of Windydown Vale,JakeBurt,RamonDeOcampo,442,2022-02-25,English,0,703,0
Fegisen,AnnaHolmströmDegerman,AlexanderLindberg,73,2022-02-24,swedish,0,65,0
Barbie Spy Squad - Tajne agentki,"Mattel,MichalinaRoś",WeronikaLukaszewska,18,2022-02-17,polish,0,65,0
Konstaapeli Pamppu,TeemuSaarinen,Ari-MattiHedman,70,2022-02-17,finnish,0,65,0
Susikoira Roin tunturiseikkailu,JormaKurvinen,SergeiVartiainen,220,2022-02-15,finnish,0,166,0
Jo tampoc em dic Flanagan,"AndreuMartin,JaumeRibera",PolNubiala,439,2022-02-14,catalan,0,38,0
The Raven Riddle,VashtiHardy,EmilyWheaton,82,2022-03-03,English,0,531,0
A to Z Mysteries Super Edition 11: Grand Canyon Grab,RonRoy,DavidPittu,123,2022-03-15,English,0,402,0
Hetty Feather,JacquelineWilson,JacquelineWilson,536,2009-10-26,English,5,531,1
Classic Detective Stories,"ArthurConanDoyle,ColinDexter,more",EdwardHardwicke,265,2005-06-13,English,5,569,1
The Sand Castle Mystery,CarolynKeene,NancyWu,76,2010-07-04,English,5,305,1
Fifth-Grade Zombies,R.L.Stine,"JoeFria,PierceCravens",157,2021-06-07,English,5,445,1
Nightfall in New York,KatherineWoodfine,JessicaPreddy,485,2021-08-07,English,0,645,0
When You Reach Me,RebeccaStead,CynthiaHolloway,259,2009-07-14,English,3.5,703,3
The Case of the Peculiar Pink Fan,NancySpringer,KatherineKellgren,234,2009-01-26,English,5,792,4
Midnight at the Barclay Hotel,FleurBradley,JanuaryLaVoy,263,2020-08-25,English,0,754,0
Every Missing Piece,MelanieConklin,KathleenMcInerney,367,2021-07-28,English,0,569,0
The Cooking Club Detectives,EwaJozefkowicz,CharlieSanderson,241,2021-07-29,English,0,569,0
The Boxcar Children Beginning,PatriciaMacLachlan,TimGregory,88,2012-09-13,English,0,305,0
The Case of the Vanishing Painting,JamesPreller,ChristopherGebauer,53,2020-01-30,English,0,233,0
The Demon World,SallyGreen,"DanielWeyman,PippaBennett-Warner,FinlayRobertson,",674,2019-01-08,English,0,615,0
The Case of the Gypsy Good-bye,NancySpringer,KatherineKellgren,206,2012-03-19,English,4.5,469,2
The Great Space Case,LyndaBeauregard,BookBuddyDigitalMedia,19,2017-06-23,English,0,164,0
A Capitol Crime,CarolynKeene,JorjeanaMarie,215,2021-05-25,English,4,305,4
Space Case,CarolynKeene,NancyWu,62,2010-07-04,English,0,234,0
L'actor Lucas Bilbo,ÀngelBurgas,DanielLloret,294,2021-07-13,catalan,0,268,0
Maia și alex. Detectivi de succes. Misterul de la circ [Maia and Alex. Successful Detectives. The Mystery of the Circus],"MartinWidmark,HelenaWillis",AlinaAnea,36,2021-07-13,romanian,0,142,0
Les 4Z: Fantômes et petits gâteaux à la crème [The 4Z: Ghosts and Cream Cakes],JulieRoyer,MartinGougeon,148,2022-03-30,french,0,439,0
Un maniaque à l'hôpital [A Maniac in the Hospital],JulieRoyer,NicolasSavard-L'Herbier,112,2022-03-30,french,0,439,0
The Zoo with the Empty Cage,"SteveBrezenoff,ChrisCanga",anonymous,46,2022-03-26,English,0,176,0
The Zombie Who Visited New Orleans,"SteveBrezenoff,ChrisCanga",anonymous,44,2022-03-26,English,0,176,0
The Case of the Haunted History Museum,"SteveBrezenoff,LisaK.Weber",anonymous,71,2022-03-24,English,0,211,0
The Burglar Who Bit the Big Apple,"SteveBrezenoff,ChrisCanga",anonymous,37,2022-03-24,English,0,176,0
Danger at the Drawbridge,MildredA.Wirt,AnneHancock,266,2022-03-24,English,0,430,0
The Cat That Disappeared,"LoriMortensen,RémySimard",anonymous,4,2022-03-24,English,0,93,0
The Ride That Was Really Haunted,"SteveBrezenoff,MarcosCalo",anonymous,37,2022-03-24,English,0,176,0
Förgiftningen,MariBister,IdaOlsson,76,2022-03-25,swedish,0,65,0
Clues in the Attic,"CariMeister,RémySimard",anonymous,5,2022-03-24,English,0,93,0
Out the Rear Window,"MichaelDahl,LisaK.Weber",anonymous,59,2022-03-24,English,0,199,0
Stowaways,"SteveBrezenoff,ScottMurphy",anonymous,62,2022-03-23,English,0,199,0
Собака по щучьему велению,ВладимирСотников,ВладимирЛевашев,259,2022-03-22,russian,0,132,0
The Bugalugs Bum Thief,TimWinton,ShaneJacobson,16,2022-03-23,English,0,398,0
Il mistero del mostro marino,"Mattel,RaffaellaCasati",EmanuelaPacotto,27,2022-03-22,italian,0,75,0
The Case of the Missing Museum Archives,"SteveBrezenoff,LisaK.Weber",anonymous,68,2022-03-18,English,0,211,0
The Graveyard Plot,"JasonStrange,BradfordKendall,AlbertoDalLago,",anonymous,38,2022-03-18,English,0,152,0
